Song Name,Artist Name
Smoke Signals,Phoebe Bridgers
Funeral,Phoebe Bridgers
Jhak Maar Ke,Pritam
room for you,sad alex
Dark Red,Steve Lacy
California Dreamin' - Single Version,The Mamas & The Papas
Intolewd,Matt Maltese
Home,Good Neighbours
Daydream Believer,The Monkees
Halloween,Novo Amor
Heart Of Gold,Neil Young
I Remember Everything (feat. Kacey Musgraves),Zach Bryan
Wondering Why,The Red Clay Strays
Can't Hold Us (feat. Ray Dalton),Macklemore
Fast Car,Tracy Chapman
Take Me To Church,Hozier
4am,Ed Prosek
Teenage Dirtbag,Wheatus
Take Care,Beach House
BLUE SKY,Kid Cudi
Ain't A Thing (feat. Bonn),Avicii
Lovin On Me,Jack Harlow
Eternal Flame,The Bangles
Beat of the Music,Brett Eldredge
Hangman Hands,Flower Face
Baby Teeth,Flower Face
Scared To Start,Michael Marcagi
The Other Side,Michael Marcagi
I Need My Girl,The National
Little Life,Cordelia
You And Me,Lifehouse
Society,Eddie Vedder
All The Faces,Creed Bratton
My Girl,The Temptations
Skinny Love,Bon Iver
The Good Side,Troye Sivan
New Year’s Day,Taylor Swift
Katrina,CHAMPS
Pursuit Of Happiness (Nightmare),Kid Cudi
Faithful,Lobo
Eye of the Tiger,Survivor
Good Riddance (Time of Your Life),Green Day
home,Deyaz
Kilby Girl,The Backseat Lovers
Winter Song,Sara Bareilles
Lunar Eclipse,The Vaccines
Margaret (feat. Bleachers),Lana Del Rey
Georgia,Vance Joy
Mulaqat,Prateek Kuhad
Aaoge Jab Tum,Rashid Khan
It's Called: Freefall,Rainbow Kitten Surprise
Paint,The Paper Kites
Autumn Town Leaves,Iron & Wine
What Would I Do Without You,Drew Holcomb & The Neighbors
Ceiling Gazing,Mark Kozelek & Jimmy LaValle
All I Need,Prateek Kuhad
Run,Harrison Storm
Ms. Crumby,The Audition
Cool Kids,Echosmith
18,One Direction
blurry (interlude),Iniko
Solo,Myles Smith
worldstar money (interlude),Joji
Kho Gaye Hum Kahan,Jasleen Royal
Marlboro Nights,Lonely God
No Role Modelz,J. Cole
Ms,alt-J
Now And Then,The Beatles
Simple As This,Jake Bugg
Candy,Paolo Nutini
"Welcome Home, Son",Radical Face
You Tried,Luca Fogale
Train Song,Vashti Bunyan
The Golden Jubilee,Irish Folk Players
Farewell,Bernth
Miserable Man,David Kushner
Motel 6,River Whyless
Please Notice,Christian Leave
Touching Yourself,The Japanese House
Prom Queen,Beach Bunny
fake love,Zebatin
Decimal,Novo Amor
Burn,David Kushner
Headed West,Malory
Forest Fires,Axel Flóvent
Soda,Nothing But Thieves
Songbird,Oasis
5 Years Later,Mark Diamond
Make Your Own Kind Of Music,Cass Elliot
Reckless Serenade,Arctic Monkeys
Good News,Mac Miller
"Sometimes, I Swear",The Vaccines
Give Me a Kiss,Crash Adams
Someone Like You,Adele
Cupid's Chokehold / Breakfast in America,Gym Class Heroes
My Kind of Woman,Mac DeMarco
Anyone Else But You,The Moldy Peaches
You And Me Song,The Wannadies
Missing Piece,Vance Joy
Forget About Life,Alvvays
"Blue, Pt. 2",Waxahatchee
White Winter Hymnal,Fleet Foxes
m.A.A.d city,Kendrick Lamar
Down (Alone on the Avenue),CHAMPS
Roll Me Out,CHAMPS
Baby I'm Yours,Arctic Monkeys
Still,Niall Horan
She Will Be Loved - Radio Mix,Maroon 5
There,YesterKid
Tum Jab Paas,Prateek Kuhad
Riha,Anuv Jain
Love Lost,Mac Miller
Wassup,Ahmad Anonimis
Back to the Old House - 2011 Remaster,The Smiths
Me and nature,Lesfm
Superheroes,The Script
an Interlude Called “Circus” (feat. Eryn Allen Kane),Saba
Karma Chameleon,Culture Club
Man Of The Year,Juice WRLD
Like Real People Do,Hozier
Words,Passenger
leave this party,pj frantz
Set Fire to the Rain,Adele
Far From Any Road,The Handsome Family
Mr. Brightside,The Killers
Meet Me At Our Spot,THE ANXIETY
All I Want Is You,Barry Louis Polisar
Run This Town,JAY-Z
Empire State Of Mind,JAY-Z
Start A Riot,BANNERS
Tap Out,The Strokes
Fly,Mark Joseph
The blue,Gracie Abrams
Family Business,Kanye West
No Surprises,Radiohead
FML,Kanye West
Dream Song,Shallow Alcove
Breaking Free,Troy
I Love Kanye,Kanye West
Pt. 2,Kanye West
Pumped Up Kicks,Foster The People
Saint Pablo,Kanye West
Stop This Train,John Mayer
I Saw the Moon,Peach Fuzz
Lost,Hayd
Thirteen,Olen
ROLLERCOASTER,The Lumineers
Flowers In Your Hair,The Lumineers
Dani California,Red Hot Chili Peppers
Kathy's Song,Simon & Garfunkel
Hope - Acoustic,Tom Rosenthal
Eyes in the Sun,Florist
This Could Be,Joel Ansett
"Free Fallin' - Live at the Nokia Theatre, Los Angeles, CA - December 2007",John Mayer
Gin Soaked Boy,The Divine Comedy
God Only Knows,Matilda Mann
Running Out Of Time,Paramore
Lake Missoula,Richy Mitch & The Coal Miners
SPLAT,Connor Price
Slow Down,Twiceyoung
Jupiter,Flower Face
Next to You,John Vincent III
Daylight,David Kushner
21,Gracie Abrams
All In White,The Vaccines
The Joker And The Queen (feat. Taylor Swift),Ed Sheeran
I've Been Working on the Railroad,John Denver
I Love You,Woodkid
Love is Pain,FINNEAS
So You Are Tired,Sufjan Stevens
Build A Bridge,Limp Bizkit
People Need A Melody,The Head And The Heart
Youngblood,5 Seconds of Summer
BLAHBLAHBLAH DEMO,Joji
1AM FREESTYLE,Joji
Crush,Cigarettes After Sex
Brazil,Declan McKenna
Naganya Maya,Sajjan Raj Vaidya
Kuri Basechu (Retake Sessions),Garage Music
A Horse with No Name,America
Yellow Lights,Harry Hudson
Do Shaitano,Judy on the run
IF NOT FOR YOU,Måneskin
Teenage Icon,The Vaccines
You Can Do Magic,America
Take on Me,a-ha
Oh Love,Prateek Kuhad
Black and Yellow,Wiz Khalifa
I Always Knew,The Vaccines
Tell It To My Heart,MEDUZA
Stupid Deep / Sinking Deep,Mass Anthem
Sparks,Coldplay
These Days,Glen Campbell
Only A Lifetime,FINNEAS
Be Alright,Dean Lewis
7 Minutes,Dean Lewis
We Didn't Even Date,Katherine Li
Stayed Up Late - Sunrise Version,Old Sea Brigade
Looking At Me Like That,Vance Joy
Blessings,Hollow Coves
I Loved You Then (And I Love You Still),Woodlock
Devoted to You,The Everly Brothers
"Now We Are Free - From ""Gladiator"" Soundtrack",Hans Zimmer
Half Light,BANNERS
Memory Lane,Haley Joelle
"Oh, Round Lake",Novo Amor
Stay Alive,José González
My Baby Loves Lovin',White Plains
Love Grows (Where My Rosemary Goes),Edison Lighthouse
How Good It Is,Morningsiders
Waterfall,Morningsiders
Wait,M83
Pills,The Perishers
Tell Me Why I'm Waiting,boy in skirt
let me hold you,lofi.samurai
When Have I Fallen,Kochetkovv
wildfire,elijah woods
Come Back,Sarcastic Sounds
You’re Gonna Go Far,Noah Kahan
Guide You Home,Diviners
hope is a dangerous thing for a woman like me to have - but I have it,Lana Del Rey
Be,Garrett Kato
Norwegian Wood (This Bird Has Flown) - Remastered 2009,The Beatles
Leave a Light On - Acoustic,Tom Walker
Every Second,Mina Okabe
Staring at the Skye,Cody Lovaas
AM I DREAMING (feat. Miley Cyrus),Lil Nas X
The Former,Steinza
The Story Never Ends,Lauv
Canada,Lauv
Backseat Freestyle,Kendrick Lamar
If You Wanna,The Vaccines
Wetsuit,The Vaccines
Wreckin' Bar (Ra Ra Ra),The Vaccines
Invincible,Aminé
U Mad,VIC MENSA
PATTERNS,NASAYA
Piledriver waltz,Alex Turner
Reptilia,The Strokes
RUNNER UP,ARDN
Animal,Miike Snow
Who Says,John Mayer
The Best Thing,Paper Planes
Money Trees,Kendrick Lamar
The Rubberband Man,The Spinners
La Isla Bonita,Madonna
The Heart of Life,John Mayer
Lacrimae,Sufjan Stevens
Hollywood Bowl,Rob Grant
i'll never fall in love with myself (demo),Zeph
what does he have that i don't?,Zeph
Rosyln,Bon Iver
River,Soll
String Lights,Peter McPoland
I Hope You Think Of Me,Lily Williams
Sky is the Limit,Mark Ambor
Sanctuary,Joji
a little more time,ROLE MODEL
in my imagination,sød ven
Would That I,Hozier
Saturnine,Mystery Jets
Iris,The Goo Goo Dolls
favorite crime,Olivia Rodrigo
if we lived on the moon,vivi rincon
Eleanor,Samuel Lim
a boy named pluto,Hailey Knox
are you okay?,Winnetka Bowling League
Iris,Natalie Taylor
Orange Hoodie,Angus Maude
Never-Ending Summer,Wes Reeve
Say Yes To Heaven,Lana Del Rey
These Memories,Hollow Coves
Alps,Novo Amor
Revenge,XXXTENTACION
Party Time,The Northern Boys
Real Estate,Adam Melchor
Underground,Horsey
Dreamer,Spencer Arjang
multiverse,Maya Manuela
I Feel Better,Novo Amor
Suitcase Full of Sparks,Gregory Alan Isakov
Cold,Novo Amor
star hopping lover,Chance Peña
Like 1999,Valley
Everybody Dies In Their Nightmares,XXXTENTACION
You Stay by the Sea,Axel Flóvent
Hope,Old Sea Brigade
Tidal Wave - Acoustic,Old Sea Brigade
This Little Life,Tom Rosenthal
With Me,Northwest Stories
Praise The Lord (Da Shine) (feat. Skepta),A$AP Rocky
Soundtrack 2 My Life,Kid Cudi
Tyler Herro,Jack Harlow
hotline (edit),Billie Eilish
We Got Love,The Home Of Happy
There Is a Light That Never Goes Out - 2011 Remaster,The Smiths
Famous,Kanye West
Heart-Shaped Box,Nirvana
Maine Tere Liye,Mukesh
Over & Done,Nic D
Only Girl,Stephen Sanchez
Life Time,Garrett Kato
room for you,sad alex
Anyways,Noah Ransom
In My Room (feat. Sizzy Rocket),Young Rising Sons
You're So Fucking Pretty,The Regrettes
hazel inside,blackbear
Chemical,Post Malone
Apologize,Timbaland
Love song,Lana Del Rey
Fuck it I love you,Lana Del Rey
The Foundations of Decay,My Chemical Romance
To Be Enchanted (Voice Memo),Sleeping At Last
i walk this earth all by myself,EKKSTACY
Back to You,Flower Face
could you love me while i hate myself,Zeph
South Dakota,JORDY
Lonely City,Mokita
how the hell did we end up here?,Zeph
I Need You,America
Someday,OneRepublic
Honey + Tea (Acoustic),Mōzi
Pressure,Jonah Roy
DOWN4U,Slaiman
Lucky for You,Novo Amor
Bookstore Girl,Charlie Burg
Winter City,Jack Gray
Daisy Daisy,Sea Girls
Inconvenient,Matthew Hall
Every Side Of You,Vance Joy
sad girl,yaeow
Hate Me If It Helps,Alexander 23
Bound 2,Kanye West
Body Like A Back Road,Sam Hunt
9-5 (love me)//,KennyHoopla
rocket science,vaultboy
Someone Else's Star,FINNEAS
Harvest Moon,Neil Young
Best Day Of My Life,Tom Odell
New Gold (feat. Tame Impala and Bootie Brown),Gorillaz
Why,Dominic Fike
10x Stronger,Dominic Fike
Broken,Palaye Royale
Down The Line,Mike Perry
I Lost a Friend,FINNEAS
We Met On The Internet,Will Joseph Cook
world,Zeph
Nutcase,Ryan Caraveo
Bad Place,The Hunna
Heartless,Kanye West
Someone To You,BANNERS
Loved the ocean,Emilia Ali
Remember,Becky Hill
Cupid,Emma Halpin
Last to Die,Malory
Ek Din Aap Yun Hum Se Chin Jaenge,Ahmed Nadeem
Ghost,Justin Bieber
You're Gonna Live Forever in Me,John Mayer
how she loves,Kinship
Losing You,Stephen Dawes
tenerife sea,SAMI
a song for you,SIGH GIRL
Drown,Bring Me The Horizon
Good In Goodbye,Madison Beer
ceilings,Lizzy McAlpine
Suddenly I See,KT Tunstall
I Gave You All,Mumford & Sons
downbad,pj frantz
Valley of the Haunted,Rishi
Titli,Kamakshi Khanna
Rude,MAGIC!
Heartbeats,José González
Quiver,Lonas
10K Summer Nights,Eighty Ninety
Homesick Remedy,MyKey
The Art Of Getting By,Laura Zocca
BEAUTIFUL THINGS WE SAW ON APRIL 4,Tom Rosenthal
Stay Anything,Chelsea Cutler
Lucky,Zeph
Nothing's Gonna Hurt You Baby,Cigarettes After Sex
Sister Golden Hair,America
I Will - Remastered 2009,The Beatles
I'll Be Your Mirror,The Velvet Underground
Deathcab,Ditty
Stuck - Background Score,OAFF
Time Machine,AREA21
If We’ll Ever Be Remembered,Martin Garrix
Can't Be By Myself,Lowswimmer
Boys Don't Cry,The Cure
High On Life (feat. Bonn),Martin Garrix
"Don't Go, Don't Leave",Hayd
Don't Let Me Down,The Chainsmokers
My Stupid Heart (with Lauv),Walk off the Earth
a million pretty pieces,Nightly
I Tried,Daniel Seavey
Last Call,Kanye West
Ni**as In Paris,JAY-Z
Northern Italy,Margaux Beylier
A Trip to Paris,Adam Ragsdale
Perfectly Broken,BANNERS
I Will Follow You Into The Dark,Miya Folick
Sweetheart,Kerry Courtney
One Day,EXES
Cold Water Swimming,Quiet Houses
Happy Accidents,Saint Motel
Iris,Chris Lanzon
A little girl,Zmi
Wing$,Macklemore & Ryan Lewis
feelings are fatal,mxmtoon
Loverboy,A-Wall
Like I Did with You - Acoustic,Us The Duo
Not By My Side,DRIXY
Love Letter From The Sea to The Shore,Delaney Bailey
could cry just thinkin about you - Full Version,Troye Sivan
New Light,John Mayer
hiccup - acoustic,Valley
Like a Stone,Audioslave
Sweet Baby,Bothnia
Imposter Syndrome,Abe Parker
I Want You,Tom Waits
Lay By Me,Ruben
Baatein Karo,Vayu
Shut up My Moms Calling (Sped up),Hotel Ugly
Somewhere only we know (sped up),Daniel Underwood
February,Matilda Mann
Platonic Pairs,The Buddy System
rises the moon,Liana Flores
Therapist,Jeremy Zucker
More Than You Know,Axwell /\ Ingrosso
Love Me Like That,Sam Kim
Forever & Always,Zeph
metronome (voice memo),jenny nuo
Welcome to The Internet,Bo Burnham
All Eyes On Me,Bo Burnham
Dissolve - acoustic,Absofacto
Somewhere Only We Know,Keane
Our Song,Anne-Marie
M.,Anıl Emre Daldal
Desire,CHAMPS
The Devil's Carnival,CHAMPS
10/10,Troye Sivan
apollo,Faith Zapata
Madeline,Jake Is Lloyd
Weeds,Handsome Ghost
better with you,Virginia To Vegas
Adeline,John-Robert
"3,000 Miles",CHAMPS
The Balfron Tower,CHAMPS
Vamala,CHAMPS
Sophia,CHAMPS
halcyon,BLÜ EYES
Hugging You,Tom Rosenthal
Last Chance,CHPTRS
howling,mehro
Cinnamon,Jome
A song I wrote after therapy,Harry Hudson
White Creatures,Black Sea Dahu
Isobel,Flower Face
ivy,Taylor Swift
Talk 2 Me,Montell Fish
Faasle,Aditya Rikhari
John Wayne,Cigarettes After Sex
Nightswimming,R.E.M.
Bones (feat. OneRepublic),Galantis
What Once Was,Her's
"February 1, 2023: C/2022 E3 - Comet Ztf",Sleeping At Last
Crazier Things (with Noah Kahan),Chelsea Cutler
Salt Lake City,Etta Marcus
Cornflower Blue,Flower Face
Evening Light,Vansire
september (rework),ROSYE
Sinners,Barns Courtney
Day by Day - Acoustic,Old Sea Brigade
Men On The Moon,Chelsea Cutler
"If I Go, I'm Goin",Gregory Alan Isakov
Missing You (with Ashe),Stephen Sanchez
Evangeline,Stephen Sanchez
Smells Like Teen Spirit,Nirvana
Our House,"Crosby, Stills, Nash & Young"
where do we go when we fall in love,SVMP
Royals,Lorde
Let Down,Andrew Belle
Reframe,Norman Dück
Garden Song,Phoebe Bridgers
Ylang Ylang,FKJ
perfume,mehro
Murderers,John Frusciante
Moonshadow,Yusuf / Cat Stevens
Stadium Arcadium,Red Hot Chili Peppers
Buzzcut Season,Lorde
Team,Lorde
Candy Heart,The 4411
"Whenever, Wherever",Shakira
Vesuvius,Sufjan Stevens
Next to Me,Otto Knows
Ramparts,John Frusciante
Vesuvius - Live,Sufjan Stevens
Thank You,Dido
Demolition Lovers,My Chemical Romance
Summertime,My Chemical Romance
Wasted,Suriel Hess
Lonely Shade of Blue,Nick Leng
Moon Child,The F16s
Meant To Be,Ber
3BadSoSad - Edit,Private Island
Que Sera Sera,Billianne
I Want to Write You a Song,One Direction
Atom 8,Sleeping At Last
HUMBLE.,Kendrick Lamar
"All The Stars (with SZA) - From ""Black Panther: The Album""",Kendrick Lamar
Cocaine Jesus,Rainbow Kitten Surprise
Cigar,Tamino
Die Hard,Kendrick Lamar
OctaHate,Ryn Weaver
Born To Die,Lana Del Rey
1000 reasons,Caleb Hearn
Something in the Orange,Zach Bryan
I Ain't Worried,OneRepublic
The Living Years,Mike + The Mechanics
If We Make It Through December,Phoebe Bridgers
It's Not The Same Anymore,Rex Orange County
False Alarm,The Weeknd
Romeo And Juliet,Dire Straits
Waves,Dean Lewis
"Alone, Pt. II",Alan Walker
Arma De Bolhas,S R Z
TV,Billie Eilish
To the Mountains,Lizzy McAlpine
Romeo & Juliet,Peter McPoland
How Do I Say Goodbye,Dean Lewis
Lady Writer,Dire Straits
I've Never Been To Me,Charlene
With Or Without You,U2
Achilles Come Down,Gang of Youths
Bumblebee,ABBA
Nothing's Missing,By The Coast
GROWING UP IS _____,Ruel
Ivy,Frank Ocean
Indiana,Adrianne Lenker
Dark Side of the Moon,Chris Staples
Calm Down (with Selena Gomez),Rema
SOS,ABBA
Wings (feat. sped up nightcore) - Sped Up Version,Birdy
The Wind - Remastered 2021,Yusuf / Cat Stevens
Father And Son,Yusuf / Cat Stevens
Love Like That (Words from Her),Suriel Hess
Yes To Heaven,Christi Buckley
Hypotheticals,Fran Vasilić
The Devil Went Down to Georgia,The Charlie Daniels Band
Jolene,Dolly Parton
Bleach,5 Seconds of Summer
they call this love,XO Xuded
Dark Necessities,Red Hot Chili Peppers
Little Bit More,Suriel Hess
Snow (Hey Oh),Red Hot Chili Peppers
Starboy,The Weeknd
Teenage Dream,Stephen Dawes
anything,Adrianne Lenker
This Must Be The Place - Naïve Melody,The Lumineers
I And Love And You,The Avett Brothers
Cool and Refreshing,Florist
You Know What They Do to Guys Like Us in Prison,My Chemical Romance
Unholy Faces,Florist
crutches,Daniel Leggs
You're Somebody Else,flora cash
Movies,Conan Gray
Tere Bina,A.R. Rahman
Better Place,Rachel Platten
we fell in love in october,girl in red
Girl I Wish I Didn't Know - Acoustic,Seafret
Into You,Matisse & Sadko
I Don't Want to Be,Gavin DeGraw
You're the Reason,Etham
golden hour,JVKE
aftermath,vaultboy
Always Be 2.0,Caleb Hearn
hideous,mehro
Evermore,Hollow Coves
It's Always Been You,Caleb Hearn
"You're On Your Own, Kid",Taylor Swift
Anti-Hero,Taylor Swift
Lonely Together (feat. Rita Ora),Avicii
CHANT (feat. Tones And I),Macklemore
caroline,sombr
Infinite,Lyn Lapid
Crazier Things,Chelsea Cutler
Smile in the Face of the Devil,Matt Maltese
Little Lion Man,Mumford & Sons
Those Eyes,New West
Celestial,Ed Sheeran
Astronomy,Conan Gray
Tangerine,Glass Animals
What Is Love,Dhruv Kapoor
All the Pretty Girls,KALEO
As the World Caves In,Sarah Cothran
IDGAF (with blackbear),BoyWithUke
Salvatore,Lana Del Rey
Pictures,Seafret
Atlantis,Seafret
Only the Brave,Louis Tomlinson
Little Freak,Harry Styles
Habits,Genevieve Stokes
Beneath Your Beautiful (feat. Emeli Sandé),Labrinth
Only You,Calum Scott
Control,Zoe Wees
Pictures,Seafret
Running Out of Love,Seafret
matthew,elijah woods
I Know Places,Lykke Li
Liability,Lorde
Stone Cold,Demi Lovato
Your Love is Killing Me,Sharon Van Etten
Let It Go,James Bay
Lost Without You,Freya Ridings
Heroes Tonight,Janji
"L’Amour, Les Baguettes, Paris",Stella Jang
Mary On A Cross,Ghost
Story of My Life,One Direction
Am I Wrong,Nico & Vinz
The Scientist,Coldplay
Maps,Maroon 5
Broken Soul Anthem,Zaba
Penelope,Pinback
Sick Boy,The Chainsmokers
Trap Anthem - Acoustic Version,MC Virgins
Chasing Dreams,Dekleyn
The Ghost,Lesse
Somebody That I Used To Know,Gotye
Sesame Syrup,Cigarettes After Sex
Songs for Teenagers,Fake Problems
Airplanes,B.o.B
A Little Messed Up,june
Way down We Go,KALEO
It's Ok If You Forget Me,Astrid S
Don't Let Me Go,Cigarettes After Sex
Raaz Tera Mera,Akanksha Sethi
I Knew You Once,Hollie Allen
Invisible Things,Lauv
"Too Much Too Soon (feat. Theo Stockman, Michael Esper, Mary Faber, Alysha Umphress)",Green Day
Wake Me up When September Ends,Green Day
Man On The Moon,R.E.M.
Rivers and Roads,The Head And The Heart
I (Don't) Have A Problem,Lauv
Bad Trip,Lauv
Shine Your Way,Alan Silvestri
Stay Together,Lauv
Hey Ari,Lauv
Stupid Face,Abe Parker
Empty House,Abe Parker
Spit Me Out - Acoustic,Ben Schuller
Bad Liar,Imagine Dragons
Ghost - Acoustic,Ben Woodward
Magic In The Hamptons (feat. Lil Yachty),Social House
Rise,Jonas Blue
Shelter,FINNEAS
You Will Never Be Alone,Andrew Sullivan
Ava,Famy
In The Winter,flora cash
Bad Liar,Anna Hamilton
Numb Little Bug,Em Beihold
SNAP,Rosa Linn
Can We Hang On ?,Cold War Kids
Another Love,Tom Odell
(This Is) The Thing,Sufjan Stevens
"Mona Lisa, Mona Lisa",FINNEAS
Modern Love.,Sons Of Leaves
Experience,Ludovico Einaudi
maybe (feat. Bring Me The Horizon),mgk
"die in california (feat. Gunna, Young Thug & Landon Barker)",mgk
last november,mgk
Lamb's Wool,Foster The People
Ring of Fire,Johnny Cash
YOUTH,Troye Sivan
Coward Of The County,Kenny Rogers
The Golden Jubilee,Margo & Country Folk
Between The Bars,Elliott Smith
Seasons in the Sun,Westlife
Donna,The Lumineers
Just Drive,Alistair Griffin
Footnote,Conan Gray
Ontario,Novo Amor
Luck,American Authors
About Love - From The Netflix Film “To All The Boys: P.S. I Still Love You”,MARINA
Glimpse of Us,Joji
colorblind,Mokita
Workin’ at the Car Wash Blues,Jim Croce
a little sound,The Lumineers
"Snow, Lights",flora cash
I’ll Have to Say I Love You in a Song,Jim Croce
"Bad, Bad Leroy Brown",Jim Croce
Sleep On The Floor,The Lumineers
Long Way From Home,The Lumineers
Cleopatra,The Lumineers
Age,Jim Croce
Home,Edith Whiskers
"Gone, Gone, Gone",Phillip Phillips
Lullaby,Dan Seals
Till Tomorrow,Don McLean
The Greatest,Kenny Rogers
When Fall Comes To New England,Cheryl Wheeler
Lucille,Kenny Rogers
Plaisir D'Amour - Stereo; 2009 Remaster,The Seekers
Don't Be Shy,Yusuf / Cat Stevens
Let It Be,John Denver
"Summer, Highland Falls",Billy Joel
Slow Hands,Niall Horan
Missing Home - filous remix,flora cash
more than life (feat. glaive),mgk
Six Feet Under,Billie Eilish
Yesterday Once More,Carpenters
Vincent,Don McLean
Lavender Blue (Dilly Dilly),Burl Ives
Colourway,Novo Amor
One Friend,Dan Seals
It'll Be Okay,Shawn Mendes
Freakin' Love,flora cash
Co2,Prateek Kuhad
The Bright Lights,flora cash
A good childhood,flora cash
Feeling So Down,flora cash
For Someone,flora cash
Down on Your Knees,flora cash
Aaftaab,The Local Train
Burden (Mr FijiWiji Remix),Subtact
The Pool,Stephen Sanchez
To Build A Home,The Cinematic Orchestra
Until I Found You,Stephen Sanchez
Heaven Is a Place on Earth,The Mayries
Matilda,Harry Styles
As It Was,Harry Styles
Na Na Na (Na Na Na Na Na Na Na Na Na),My Chemical Romance
Big Black Car,Gregory Alan Isakov
Line Without a Hook,Ricky Montgomery
Butterflies,Abe Parker
Self Sabotage,Abe Parker
Falling In Love,Cigarettes After Sex
Starry Eyes,Cigarettes After Sex
Heavenly,Cigarettes After Sex
Friends,emma løv
Homage - Slowed+Reverb,Lucim
Euphor,Novo Amor
Repeat Until Death,Novo Amor
House of Memories,Panic! At The Disco
Memories,Conan Gray
CHICKEN TENDIES,Clinton Kane
I Found,Amber Run
this is how you fall in love,Jeremy Zucker
Like Strangers Do,AJ Mitchell
Keep Me,Novo Amor
Until We Meet Again,Stephen Sanchez
Please Don't Go,Joel Adams
Sunsetz,Cigarettes After Sex
Slipping Through My Fingers,ABBA
Can You Feel My Heart,Bring Me The Horizon
One Sided,Preston Pablo
iScream,Deaton Chris Anthony
Time of Our Lives,Tyrone Wells
This Is Why I Need You,Jesse Ruben
I'm not angry anymore,Cummrs
WHERE WE ARE,The Lumineers
Carolina in My Mind,James Taylor
The Days,Jasmine Thompson
Don't Answer Me,The Alan Parsons Project
Hurtless,Dean Lewis
Dancing On My Own,Calum Scott
Boy Division,My Chemical Romance
K.,Cigarettes After Sex
Freaks,Surf Curse
Unloving You,Anson Seabra
What A Time (feat. Niall Horan),Julia Michaels
Just A Word,Prateek Kuhad
Into Your Arms (feat. Ava Max),Witt Lowry
Say Something,A Great Big World
Flume - Spotify Singles,FINNEAS
Let Somebody Go - Spotify Singles,Coldplay
Home for the Summer,Sara Kays
90s Kids,Jax
Gone,Blake Rose
Anchor,Novo Amor
emo girl (feat. WILLOW),mgk
Myth,Beach House
Here with Me,Susie Suh
She Will Never Know,Loving Caliber
I Can't Make You Love Me,Dave Thomas Junior
Paper Rings,Taylor Swift
Loved You Before,Natalie Taylor
Wellerman - Sea Shanty,Nathan Evans
Vienna,Billy Joel
for now,Gabriel
Carry You,Novo Amor
100 words,Prateek Kuhad
fighter,Prateek Kuhad
Maniac,Conan Gray
all the kids are depressed,Jeremy Zucker
Viva La Vida,Coldplay
Fireworks,First Aid Kit
It's Time,Imagine Dragons
I'd Love You to Want Me,Lobo
Nancy Mulligan,Ed Sheeran
Lover Of Mine,5 Seconds of Summer
You Are Enough (Acoustic),Sleeping At Last
Perfect,One Direction
Favorite T-Shirt,Jake Scott
Natural,Imagine Dragons
Good Days,SZA
Turning Page,Sleeping At Last
Good Without,Mimi Webb
The Room at the Top of the Stairs - 2008 Version,Eddie Rabbitt
Cold Shoulders,Prateek Kuhad
CHICKEN TENDIES,Clinton Kane
Tere Hi Hum,Prateek Kuhad
Dil Mere,The Local Train
Choo Lo,The Local Train
High,The Chainsmokers
HUMANS - Far Out Remix,KLOUD
Sleepwalking,Rival
Spirits,The Strumbellas
then i met her,EKKSTACY
When We Were Young,Adele
Hello,Adele
Almost Home,Alex & Sierra
Fallin’ (Adrenaline),Why Don't We
